"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Pre-bloom",5.207514082798908,1.2076680876131558,Inf,3.3054406691409826,8.204111232647362,"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",6.174313937914175,1.4907114881749988,Inf,3.8465967207459903,9.910618495127308,"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",0.4027777743480607,0.0747939533498156,Inf,0.2798989974303398,0.5796017027504805,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.7499999915248144,0.25000000187967003,Inf,0.39023606651288606,1.4414351608083547,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",0.004895512143814579,0.007426217609289277,Inf,2.503646949239246e-4,0.09572451562117534,"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity",NA,"shannon_diversity"
"Bloom",0.0035896904962697956,0.012249683354863969,Inf,4.470579895177839e-6,2.8823727930483822,"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity",NA,"shannon_diversity"
"Pre-bloom",0.0033406381129737085,NA,Inf,NA,NA,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity",NA,"shannon_diversity"
"Bloom",0.0025104418931086604,NA,Inf,NA,NA,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity",NA,"shannon_diversity"
"Pre-bloom",0.004914609837271418,0.0071925465676084925,Inf,2.790955917060194e-4,0.08654163867284063,"Boston Bay","Shannon diversity",NA,"shannon_diversity"
"Bloom",0.001841001635137625,0.006326275970240976,Inf,2.188017889312987e-6,1.5490216223248567,"Boston Bay","Shannon diversity",NA,"shannon_diversity"
"Pre-bloom",0.0019105435620078374,0.008930404211798056,Inf,2.0063544124421049e-7,18.19308034360018,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shannon diversity",NA,"shannon_diversity"
